month,day,week,airline,dest,dep_del,sch_elp,dist,sch_dep_m,act_dep_m,sch_arr_m,temp,dew,hum,wind,w_spd,gust,pres,sch_dep,sch_arr
12,20,5,3,6,-6,75,266,455,449,530,24,14,65,8,13,0,30.51,38,36
11,5,2,1,2,-8,264,1521,1290,1282,54,56,41,57,15,10,0,30.16,28,29
12,28,6,0,47,-4,119,427,509,505,628,47,42,83,8,10,0,30.21,50,20
1,5,7,3,56,-3,419,2586,929,926,1168,42,22,45,8,24,28,29.91,32,38
12,4,3,4,33,-5,215,1182,475,470,630,36,30,79,15,12,0,29.6,36,30
12,31,2,1,28,-1,388,2475,900,899,1108,43,39,86,17,15,0,29.62,24,38
1,29,3,4,51,-6,202,1074,449,443,651,33,19,56,7,17,0,30.05,37,36
1,18,6,4,12,-3,125,541,488,485,613,22,5,48,1,7,0,30.54,43,18
1,25,6,1,17,41,256,1391,1200,1241,1396,47,46,97,17,16,0,29.76,28,39
1,31,5,3,44,-2,233,1617,1340,1338,193,40,38,93,5,7,0,30.2,20,32
11,14,4,4,27,-6,344,2248,659,653,823,41,25,53,14,7,0,30.41,20,22
12,15,7,1,28,110,384,2475,1320,1430,84,38,20,48,8,16,0,30.15,21,20
11,24,7,6,3,-5,162,765,820,815,922,44,42,93,8,21,30,29.24,30,43
1,8,3,4,16,-1,292,1626,1240,1239,1412,32,12,44,16,24,39,30.25,29,40
1,4,6,3,58,12,239,1598,1240,1252,99,47,42,83,8,18,26,29.53,35,43
1,30,4,0,50,-7,91,264,1320,1313,1411,30,22,72,5,7,0,30.35,32,30
1,6,1,1,31,-2,202,1089,372,370,574,33,30,89,15,13,0,29.94,20,23
12,10,2,4,30,-2,181,944,685,683,866,56,55,97,17,14,0,29.8,31,20
1,21,2,0,22,-4,96,228,502,498,598,25,13,60,4,7,0,30.46,41,16
12,23,1,4,56,-3,422,2586,490,487,732,40,34,79,13,6,0,30.16,54,20
12,23,1,0,7,28,98,301,420,448,518,37,33,86,17,8,0,30.16,35,35
12,20,5,1,28,-2,393,2475,450,448,663,24,14,65,8,13,0,30.51,38,36
1,2,4,4,2,-4,277,1521,540,536,757,40,30,68,17,7,0,30.01,50,19
11,24,7,4,1,10,159,760,899,909,1058,42,38,85,8,25,33,29.35,29,38
11,21,4,4,32,-4,194,1029,419,415,553,39,33,79,6,3,0,30.2,18,20
11,12,2,4,16,-7,275,1626,845,838,1000,33,20,59,8,21,35,29.93,26,43
11,24,7,0,50,-8,91,264,965,957,1056,42,37,82,8,21,29,29.4,29,38
11,12,2,3,28,-3,387,2475,1180,1177,1387,30,15,54,8,20,0,30.09,37,28
1,31,5,4,1,-7,162,760,1050,1043,1212,40,35,83,1,9,0,30.23,28,27
12,31,2,3,54,-9,146,718,886,877,1032,42,39,89,13,12,0,29.61,24,38
11,1,5,4,28,-3,370,2475,515,512,705,50,33,52,15,21,30,30.0,46,19
1,23,4,3,5,-12,225,1576,1439,1427,284,37,33,86,0,0,0,30.36,15,22
11,13,3,3,28,-2,379,2475,425,423,624,25,10,53,8,21,30,30.3,35,28
11,20,3,0,47,-7,113,427,787,780,900,46,33,61,7,14,0,29.94,28,44
12,19,4,4,28,24,390,2475,1080,1104,1290,24,9,53,8,15,0,30.4,40,37
1,15,3,3,52,-5,388,2446,959,954,1167,44,34,68,12,7,0,30.12,31,36
12,29,7,0,43,-5,114,340,475,470,589,39,33,79,5,7,0,30.24,34,34
11,2,6,3,4,-8,68,187,1375,1367,3,50,42,74,15,12,0,30.05,19,26
11,16,6,1,62,-5,239,1623,509,504,808,36,5,27,5,24,35,30.45,51,17
11,20,3,1,56,-8,405,2586,1275,1267,60,43,30,60,7,16,0,30.07,28,32
11,11,1,3,28,-5,387,2475,1180,1175,1387,56,54,93,9,13,0,29.89,39,27
12,14,6,4,58,-5,229,1598,485,480,774,52,52,10,0,0,0,29.44,45,16
12,15,7,0,63,-5,97,209,1018,1013,1115,42,24,49,15,18,29,30.01,32,32
11,26,2,2,55,-2,391,2422,1120,1118,1331,50,49,96,9,10,0,30.03,37,35
1,3,5,0,12,-2,141,541,1260,1258,1401,47,47,10,15,9,0,29.84,33,44
11,16,6,4,16,-2,278,1626,895,893,1053,39,3,22,5,16,0,30.44,26,35
11,7,4,4,1,-5,150,760,833,828,983,57,45,64,17,14,0,30.03,27,44
12,15,7,8,4,-7,77,187,735,728,812,49,28,44,15,28,37,29.81,24,25
1,17,5,0,17,-3,268,1391,825,822,1033,30,-3,24,7,18,26,30.62,33,34
12,1,7,4,1,37,150,760,833,870,983,35,34,96,2,22,28,29.74,27,43
12,27,5,4,30,-1,181,944,450,449,631,45,44,97,12,6,0,30.3,36,34
11,10,7,0,9,-6,81,184,520,514,601,46,34,63,13,17,0,30.12,49,18
1,5,7,0,3,-6,172,765,1125,1119,1237,37,20,50,8,15,23,29.99,42,37
12,20,5,0,11,-4,119,425,740,736,859,32,12,44,7,18,0,30.52,23,25
1,3,5,8,26,-5,182,828,1170,1165,1352,47,46,97,17,10,0,29.84,43,28
12,9,1,4,33,6,215,1182,475,481,630,49,49,10,0,0,0,30.08,52,20
11,27,3,3,35,78,370,2429,1080,1158,1270,55,51,86,13,13,0,29.58,42,34
11,25,1,3,33,-10,211,1182,899,889,1050,51,39,63,13,10,0,29.84,22,35
12,22,7,4,58,-2,233,1598,900,898,1193,43,33,68,13,8,0,30.24,26,42
11,30,6,4,18,109,123,509,779,888,902,42,11,28,4,13,0,30.0,27,39
12,17,2,4,52,11,398,2446,1183,1194,1401,34,33,96,7,8,0,29.7,41,31
12,23,1,1,2,-3,263,1521,1305,1302,68,42,33,70,13,13,0,29.96,34,29
12,12,4,1,28,1,378,2475,870,871,1068,35,8,33,0,0,0,30.7,28,35
1,16,4,4,56,41,424,2586,1165,1206,1409,38,20,48,16,26,40,30.09,30,37
11,18,1,3,30,-3,176,944,1069,1066,1245,40,40,10,7,12,0,29.72,35,27
1,27,1,4,18,-7,145,509,1165,1158,1310,44,27,51,16,12,0,29.71,40,33
1,15,3,3,56,-5,410,2586,1229,1224,19,45,35,68,17,7,0,30.13,26,38
11,8,5,3,64,21,179,1005,1305,1326,44,31,15,52,7,15,0,30.33,24,31
11,12,2,3,6,23,72,266,730,753,802,35,28,76,8,25,30,29.89,21,25
1,18,6,4,33,64,209,1182,1175,1239,1324,38,37,97,9,15,0,29.96,25,38
11,13,3,3,64,-6,180,1005,447,441,627,25,10,53,8,21,30,30.3,35,28
11,1,5,3,58,44,233,1598,929,973,1162,53,31,43,16,15,0,30.14,24,34
1,15,3,3,39,-5,185,1028,1232,1227,1417,45,35,68,17,7,0,30.13,26,38
1,23,4,0,36,-4,169,740,764,760,873,42,23,47,17,7,0,30.37,18,30
11,5,2,0,24,-6,147,665,1095,1089,1242,55,44,67,17,10,0,30.14,36,31
12,8,7,3,27,-1,353,2248,1170,1169,1343,38,34,86,13,6,0,30.41,43,29
11,2,6,0,3,7,155,765,485,492,580,46,33,61,6,9,0,30.24,47,18
12,8,7,4,55,-4,397,2422,1100,1096,1317,38,34,86,13,8,0,30.42,40,35
12,14,6,3,10,4,132,636,839,843,971,53,53,10,9,20,0,29.22,24,35
11,19,2,4,12,-7,141,541,895,888,1036,48,38,68,8,12,0,29.79,29,36
1,9,4,3,56,15,414,2586,552,567,786,28,8,43,8,9,0,30.74,37,18
11,14,4,8,13,-5,115,483,580,575,695,37,22,54,14,5,0,30.46,35,21
1,31,5,4,2,-7,257,1521,815,808,1012,43,34,71,11,8,0,30.3,31,35
1,19,7,4,28,-1,391,2475,820,819,1031,44,26,49,16,20,26,29.74,30,36
12,2,1,7,36,238,174,740,420,658,534,37,36,96,4,17,0,29.48,18,26
11,20,3,4,56,-4,400,2586,580,576,800,42,33,70,7,17,0,29.94,32,21
12,5,4,3,30,-4,179,944,1079,1075,1258,39,24,55,16,16,30,29.98,31,32
1,27,1,1,31,-6,201,1089,1047,1041,1248,44,29,55,8,15,0,29.7,31,28
11,21,4,1,12,-4,129,541,811,807,940,53,32,45,14,5,0,30.12,29,43
1,27,1,1,31,-7,204,1089,490,483,694,40,31,70,15,17,0,29.72,45,18
1,10,5,1,31,-6,201,1089,419,413,620,40,37,89,13,13,0,30.6,18,24
11,6,3,1,28,-8,380,2475,750,742,950,55,28,35,8,12,18,30.35,21,24
11,6,3,3,35,7,370,2429,1080,1087,1270,50,30,46,17,9,0,30.37,36,31
1,1,3,4,20,-4,193,1069,685,681,878,42,21,43,15,21,30,29.74,26,19
12,15,7,1,31,-1,194,1089,420,419,614,44,35,71,15,20,25,29.71,19,20
12,23,1,4,39,-4,187,1028,500,496,687,40,34,79,13,6,0,30.16,54,20
1,24,5,4,52,0,392,2446,1198,1198,1410,40,31,70,2,8,0,30.3,40,31
1,1,3,3,1,35,165,760,900,935,1065,39,21,49,16,18,0,29.79,32,31
1,24,5,3,6,-12,75,266,1375,1363,10,39,32,76,2,10,0,30.28,20,31
1,17,5,1,31,-5,199,1089,555,550,754,24,3,40,7,25,31,30.63,40,16
12,25,3,1,28,-4,398,2475,540,536,758,39,28,65,5,8,0,30.25,47,16
12,4,3,4,52,3,398,2446,1183,1186,1401,39,33,79,15,15,0,29.55,41,29
1,22,3,3,28,-5,391,2475,1055,1050,1266,36,18,48,8,6,0,30.44,27,27
11,25,1,3,5,-9,223,1576,1439,1430,282,45,40,82,13,14,0,29.95,19,18
12,29,7,8,12,-2,141,541,583,581,724,41,32,70,2,9,0,30.28,43,18
11,18,1,6,47,-13,116,427,986,973,1102,41,41,10,7,13,0,29.72,31,36
1,13,1,2,55,-8,385,2422,570,562,775,44,38,79,2,7,0,30.42,40,17
1,12,7,0,14,-4,149,589,510,506,659,61,58,90,17,25,35,29.93,49,18
12,26,4,4,28,-5,385,2475,1055,1050,1260,45,40,82,1,14,0,30.36,31,35
1,2,4,0,48,-10,118,288,1200,1190,1318,44,41,89,12,12,0,29.89,43,30
12,1,7,2,55,16,387,2422,560,576,767,32,20,61,2,10,0,29.97,38,19
11,5,2,3,16,-2,275,1626,1214,1212,1369,55,45,69,17,10,0,30.14,27,40
12,30,1,4,39,104,196,1028,1200,1304,1396,39,38,96,4,18,0,29.77,32,29
12,24,2,2,56,9,407,2586,420,429,647,41,31,67,6,10,0,30.09,31,29
1,10,5,0,11,-7,120,425,788,781,908,48,41,77,13,12,0,30.46,32,35
12,5,4,2,56,-1,407,2586,570,569,797,42,32,67,15,15,0,29.76,32,20
1,1,3,4,31,-2,201,1089,1169,1167,1370,37,22,54,15,17,25,29.88,46,27
1,29,3,4,55,-5,391,2422,1115,1110,1326,36,17,46,4,10,0,30.11,38,34
11,12,2,3,28,0,376,2475,608,608,804,39,34,82,8,17,0,29.85,18,22
1,26,7,4,56,-4,411,2586,580,576,811,41,36,82,17,15,0,29.82,39,17
11,27,3,4,31,-7,192,1089,485,478,677,47,46,97,2,5,0,30.0,38,30
1,12,7,3,28,-5,387,2475,689,684,896,65,46,50,15,18,29,30.02,28,17
12,7,6,3,10,3,124,636,351,354,475,33,22,64,8,13,0,30.29,6,15
1,28,2,3,10,-9,137,636,825,816,962,44,27,51,8,20,25,29.79,31,33
1,14,2,6,48,-14,97,288,930,916,1027,44,38,79,1,9,0,30.18,30,37
11,23,6,1,4,-3,77,187,565,562,642,40,24,53,7,8,0,30.06,40,15
11,6,3,4,32,-6,196,1029,1169,1163,1305,51,29,43,17,12,0,30.37,37,28
1,19,7,4,16,-1,291,1626,485,484,656,43,31,62,16,13,23,29.7,45,19
12,31,2,3,7,-4,94,301,1115,1111,1209,42,39,89,13,8,0,29.64,36,33
12,13,5,3,26,-1,153,828,469,468,622,38,32,79,6,5,0,30.44,38,33
1,10,5,0,47,-5,113,427,752,747,865,46,41,83,17,5,0,30.48,20,29
12,22,7,3,59,-2,330,1990,454,452,664,30,25,82,17,10,0,30.38,35,35
11,28,4,4,58,-1,231,1598,485,484,776,49,33,54,16,21,33,29.76,43,16
1,9,4,0,18,-2,138,509,419,417,557,24,8,51,8,15,0,30.7,19,22
1,4,6,3,20,25,205,1069,941,966,1146,48,48,10,17,7,0,29.54,29,29
1,15,3,1,31,-4,202,1089,1110,1106,1312,42,34,73,17,8,0,30.14,37,36
1,4,6,1,36,0,188,740,960,960,1088,48,48,10,17,7,0,29.54,29,29
11,23,6,4,20,-1,180,1069,689,688,869,44,24,45,14,6,0,29.99,25,20
1,9,4,4,53,-3,268,1587,1104,1101,1312,31,11,43,3,6,0,30.74,38,39
12,3,2,6,47,-4,111,427,480,476,591,33,26,75,8,16,0,29.53,39,32
12,21,6,8,15,-3,82,213,1031,1028,1113,31,27,85,9,7,0,30.5,28,37
11,26,2,0,50,12,91,264,965,977,1056,50,48,93,9,10,0,30.01,29,32
12,12,4,3,56,-1,390,2586,1309,1308,79,32,23,69,9,6,0,30.68,30,30
11,17,7,4,56,10,406,2586,1270,1280,56,39,31,73,6,18,0,30.09,32,34
1,15,3,4,42,12,365,2153,1165,1177,1410,45,35,68,17,7,0,30.13,38,34
1,21,2,3,51,-4,203,1074,599,595,802,28,11,49,8,8,0,30.47,35,16
12,10,2,4,16,-2,292,1626,485,483,657,52,52,10,12,5,0,29.81,50,17
12,21,6,3,39,-4,178,1028,389,385,567,23,15,72,6,6,0,30.63,17,24
11,8,5,3,27,-5,353,2248,1176,1171,1349,33,15,48,7,18,28,30.29,40,26
12,3,2,3,28,-3,377,2475,689,686,886,34,23,64,8,20,28,29.51,30,17
11,1,5,0,18,-7,127,509,562,555,689,52,32,47,16,25,32,30.02,30,18
1,3,5,1,28,-3,400,2475,1020,1017,1240,46,46,10,17,6,0,29.81,28,29
12,1,7,6,43,-3,105,340,1019,1016,1124,39,39,10,2,18,30,29.61,33,37
