-3.0,19,0
-3.0,[22.90724076],0
3,22.50194405452573,0
3,22.50194405452573,0
3,22.50194405452573,0
3,22.50194405452573,0
56.0,45,3
56.0,[26.30023487],4
40,24.968922124782956,0
-5,25.45776975558751,0
40,24.968922124782956,0
40,24.968922124782956,0
-5.0,36,2
-5.0,[24.13776749],2
38,24.694266468204294,0
38,24.694266468204294,0
38,24.694266468204294,0
-4,22.1967257542265,0
-6.0,34,2
-6.0,[22.22978993],2
39,21.553221985086438,0
39,21.553221985086438,0
39,21.553221985086438,0
39,21.553221985086438,0
-1.0,76,4
-1.0,[19.54933653],5
-4,17.766845177296723,0
-8,19.15874343648541,0
-8,19.15874343648541,0
-8,19.15874343648541,0
1.0,48,3
1.0,[20.99758746],2
30,28.489808388845027,2
-5,16.899942368011573,0
-7,15.960617332142697,0
-5,16.899942368011573,0
5.0,41,2
5.0,[27.46169504],1
32,19.66832695148566,0
38,20.417102371302107,0
29,22.301125995502,0
32,19.66832695148566,0
19.0,23,2
19.0,[17.52312666],0
-3,15.486269546702683,0
-7,14.422752783172013,0
-3,15.486269546702683,0
-7,14.422752783172013,0
3.0,40,0
3.0,[24.70093616],1
-14,27.206425102412098,0
-7,25.636251165037592,0
-5,26.89611610244325,0
-5,26.89611610244325,0
-6.0,36,4
-6.0,[25.51533434],1
38,22.104211397492953,1
38,22.104211397492953,1
12,21.87051065905988,1
38,22.104211397492953,1
-5.0,34,0
-5.0,[23.07250544],0
34,20.02569709668962,0
37,20.19463964270176,0
34,20.02569709668962,0
38,19.409018390793378,0
-5.0,30,2
-5.0,[16.57111339],2
40,19.2495050791523,0
38,17.867943442540483,0
40,19.2495050791523,0
40,19.2495050791523,0
-3.0,24,1
-3.0,[18.76566218],0
40,21.791143673965916,0
-5,22.191580810779243,0
40,21.791143673965916,0
-5,22.191580810779243,0
-1.0,35,0
-1.0,[18.72485347],0
3,21.549539866377167,0
-4,19.85074144486441,0
3,21.549539866377167,0
3,21.549539866377167,0
-2.0,34,0
-2.0,[17.31094005],2
3,19.29482483022969,0
3,19.29482483022969,0
-3,16.492591940486296,0
3,19.29482483022969,0
-8.0,22,0
-8.0,[17.36412004],2
-11,18.875903872947088,0
-11,18.875903872947088,0
37,16.208450914289116,1
-11,18.875903872947088,0
3.0,23,3
3.0,[17.60651576],1
4,17.54540121288273,1
-5,20.108205561349937,0
29,16.617375581675248,1
38,16.3914138303798,1
-3.0,16,1
-3.0,[21.38588048],2
-18,27.284495910777082,0
34,16.978714409815996,1
-14,27.904693753032536,1
-15,28.42314959711726,1
-4.0,13,1
-4.0,[18.68288613],1
-13,18.494740780781928,0
-13,18.494740780781928,0
-13,18.494740780781928,0
-13,18.494740780781928,0
3.0,19,5
3.0,[14.56883012],0
-5,13.871533514088664,0
4,15.143843572950951,0
-5,13.871533514088664,0
-5,13.871533514088664,0
-5.0,12,1
-5.0,[20.08044566],0
15,19.196501582962718,0
-5,20.08044566441263,0
-3,18.740352268922997,0
-3,18.740352268922997,0
3.0,23,3
3.0,[21.87037425],0
-5,23.937289277930496,0
-4,22.211794669661415,0
-5,23.937289277930496,0
-5,23.937289277930496,0
-1.0,20,4
-1.0,[20.79602343],0
-5,21.46491058258576,0
-5,21.46491058258576,0
-5,21.46491058258576,0
-5,21.46491058258576,0
-1.0,29,4
-1.0,[25.32779258],0
-3,22.036251031268993,0
-5,24.767323281021007,0
15,21.555725043558922,0
15,21.555725043558922,0
-1.0,39,0
-1.0,[24.8226897],1
12,29.516145554747084,0
12,29.516145554747084,0
14,29.050350344200048,0
12,29.516145554747084,0
-7.0,50,5
-7.0,[27.08595942],4
-3,27.562153851736085,0
6,27.144233748969178,0
-4,28.055451711100257,0
-5,28.68727959402819,0
-10.0,31,4
-10.0,[16.08779301],0
3,14.728597815368307,0
29,11.431663454592202,0
3,14.728597815368307,0
3,14.728597815368307,0
-1.0,25,2
-1.0,[19.48779377],1
6,19.634981601588095,1
-5,21.265398562714047,1
4,18.89190720972232,1
4,18.89190720972232,1
-4.0,15,0
-4.0,[19.2358453],0
38,21.94149561271892,0
38,21.94149561271892,0
38,21.94149561271892,0
38,21.94149561271892,0
-3.0,21,3
-3.0,[21.10695087],0
2,22.398159739916668,0
15,24.557992135241978,0
4,23.012292951973894,0
-5,22.162825282772722,0
17.0,20,4
17.0,[17.4450499],0
4,20.53117036178213,0
4,20.53117036178213,0
3,20.567091833721715,0
4,20.53117036178213,0
-1.0,34,2
-1.0,[23.59603094],2
10,22.48227727700404,1
-4,21.62928629640048,1
11,22.41186284881729,1
11,22.41186284881729,1
-7.0,48,1
-7.0,[24.52144563],4
-12,26.849857868445014,0
-14,27.27442109801929,0
-5,24.832961944566513,0
-5,24.832961944566513,0
90.0,39,5
90.0,[22.80628796],0
6,24.604488530138106,0
16,22.31082226058085,0
6,24.604488530138106,0
-5,26.62302320031725,0
107.0,76,4
107.0,[26.72222427],5
3,27.67549126002255,0
6,28.546281988245088,0
5,28.584932658237328,0
6,28.546281988245088,0
79.0,57,3
79.0,[19.62002225],4
6,23.602160689999078,0
-5,27.157147830839282,0
-13,27.046246984397452,0
-5,27.157147830839282,0
30.0,38,4
30.0,[21.40732065],1
38,21.05740400924557,1
38,21.05740400924557,1
38,21.05740400924557,1
38,21.05740400924557,1
-2.0,27,0
-2.0,[23.90640191],0
-5,23.25029069277576,0
5,22.397797193562727,0
5,22.397797193562727,0
5,22.397797193562727,0
-7.0,28,5
-7.0,[18.75804769],2
-5,19.344113304339444,0
40,17.705766470481823,0
40,17.705766470481823,0
-5,19.344113304339444,0
-6.0,24,4
-6.0,[16.87719466],2
37,17.165135417561633,0
18,18.830810848539283,0
