,month,day,week,airline,dest,dep_del,sch_elp,dist,sch_dep,act_dep,sch_arr,temp,dew,hum,wind,w_spd,gust,pres,cond,bef_dep1,aft_dep1,bef_arr1,aft_arr1
8135,11,25,1,3,8,0,377,2465,990,990,1187,44,38,79,9,8,0,29.87,3,10,16,3,9
14251,12,16,1,3,28,-8,380,2475,940,932,1140,35,24,64,0,0,0,30.23,16,13,13,3,7
16347,12,23,1,3,54,20,146,718,886,906,1032,49,32,52,13,14,0,30.03,16,18,13,6,12
22961,1,13,1,4,55,-4,389,2422,957,953,1166,46,45,96,8,7,0,30.33,0,17,12,4,9
4426,11,14,4,4,31,19,190,1089,921,940,1111,45,27,49,13,10,0,30.33,16,10,13,5,7
5897,11,18,1,3,51,-10,191,1074,1310,1300,61,41,41,10,4,10,0,29.71,12,11,6,5,12
15193,12,20,5,4,56,-3,409,2586,420,417,649,24,14,65,8,13,0,30.51,3,9,13,7,16
25295,1,21,2,0,3,180,175,765,513,693,628,30,12,47,7,8,0,30.44,3,11,11,2,5
19335,1,2,4,0,54,-5,151,718,575,570,726,40,30,68,17,7,0,30.01,3,13,15,1,4
2406,11,8,5,3,58,0,228,1598,877,877,1165,39,13,34,7,22,31,30.15,19,11,19,2,9
1059,11,4,1,0,15,12,83,213,770,782,853,56,35,45,9,15,0,30.33,18,4,7,5,7
3292,11,11,1,0,54,-5,145,718,550,545,695,55,47,74,13,3,0,30.09,16,6,12,4,3
7359,11,23,6,4,31,-1,189,1089,485,484,674,38,23,55,16,10,0,30.07,18,20,19,3,7
21944,1,10,5,4,58,-4,229,1598,719,715,1008,46,41,83,17,5,0,30.48,16,10,4,5,6
1768,11,6,3,6,47,-13,116,427,986,973,1102,50,29,44,13,10,0,30.35,3,12,9,6,9
2410,11,8,5,0,6,-8,90,266,895,887,985,39,13,34,7,22,31,30.15,19,10,14,7,13
27287,1,27,1,3,30,-7,182,944,810,803,992,43,33,68,17,15,0,29.66,16,8,12,3,9
1772,11,6,3,6,14,-8,141,589,995,987,1136,50,29,44,13,10,0,30.35,3,11,8,6,7
19229,1,1,3,3,7,7,92,301,1290,1297,1382,36,21,55,16,17,0,29.89,3,10,3,4,6
10399,12,4,3,2,56,-3,407,2586,420,417,647,36,30,79,15,12,0,29.6,0,9,13,10,14
391,11,2,6,1,42,-3,332,2153,655,652,807,51,35,54,0,0,0,30.17,18,0,7,3,3
19392,1,2,4,0,4,8,80,187,780,788,860,46,37,71,12,9,0,29.93,16,5,8,4,8
8150,11,25,1,0,18,-10,137,509,1040,1030,1177,44,39,82,12,7,0,29.88,3,13,4,7,9
20827,1,7,2,4,1,-3,157,760,360,357,517,38,25,60,15,10,0,30.08,0,3,6,4,6
15872,12,22,7,1,28,-4,393,2475,450,446,663,30,25,82,17,10,0,30.38,3,10,12,8,13
5245,11,17,7,4,32,-4,194,1029,419,415,553,34,24,67,5,15,0,30.35,16,10,16,7,13
16287,12,23,1,2,56,-9,407,2586,690,681,917,47,35,63,13,12,0,30.09,18,6,14,4,3
5037,11,16,6,4,30,-6,168,944,685,679,853,40,5,23,2,18,32,30.44,3,9,11,2,5
18110,12,29,7,4,55,0,390,2422,425,425,635,39,33,79,5,7,0,30.24,16,13,12,10,10
14923,12,19,4,4,1,0,158,760,360,360,518,17,3,54,8,24,31,30.24,4,5,9,4,5
10266,12,3,2,3,52,0,365,2446,990,990,1175,35,24,64,8,17,28,29.56,18,19,6,7,10
19241,1,1,3,3,4,43,70,187,1360,1403,1430,35,20,54,16,14,0,29.91,3,2,1,3,5
20559,1,6,1,2,27,22,355,2248,485,507,660,35,30,82,17,16,0,29.97,0,12,7,3,8
21058,1,7,2,3,55,-7,393,2422,1065,1058,1278,40,26,58,1,10,0,29.9,0,6,6,7,10
16241,12,23,1,4,10,19,146,636,515,534,661,42,35,76,13,10,0,30.16,3,9,10,3,6
20549,1,6,1,4,12,-5,130,541,488,483,618,35,30,82,17,16,0,29.97,0,7,10,3,7
9526,11,30,6,6,47,-12,114,427,630,618,744,39,14,36,4,15,0,30.08,18,4,3,4,9
3335,11,11,1,3,20,-5,188,1069,690,685,878,57,44,62,9,6,0,30.05,16,12,15,3,8
3556,11,12,2,3,30,-10,168,944,345,335,513,56,46,69,13,12,0,29.71,0,2,5,3,10
15632,12,21,6,4,27,14,364,2248,653,667,837,33,21,61,6,5,0,30.59,0,6,16,2,4
9280,11,29,5,7,7,-4,89,301,810,806,899,41,23,49,8,18,0,30.14,3,8,6,3,9
17768,12,28,6,3,28,-9,393,2475,420,411,633,44,44,10,15,8,0,30.21,18,7,11,4,14
17439,12,27,5,4,31,-4,191,1089,440,436,631,45,44,97,12,6,0,30.3,16,14,15,9,13
14654,12,17,2,1,12,248,133,541,1021,1269,1154,34,32,93,7,13,0,29.7,0,12,10,6,9
12785,12,12,4,4,55,-5,390,2422,420,415,630,27,13,56,7,20,0,30.71,3,10,15,7,15
3475,11,11,1,3,34,0,392,2576,1139,1139,1351,54,53,97,11,10,0,29.92,16,11,11,7,8
25908,1,23,4,1,28,-6,399,2475,540,534,759,38,28,68,13,9,0,30.43,16,11,13,6,5
6210,11,19,2,4,16,-2,289,1626,1185,1183,1354,45,35,68,4,6,0,29.87,16,17,7,6,11
20717,1,6,1,4,1,30,160,760,990,1020,1150,42,29,60,15,9,0,30.0,3,9,12,4,5
11999,12,9,1,3,55,-2,382,2422,520,518,722,52,52,10,9,20,28,30.09,12,14,2,4,9
12818,12,12,4,4,27,-4,371,2248,485,481,676,29,12,49,7,14,0,30.72,3,17,19,3,7
