month,day,week,airline,ori,dep_del,taxi,sch_elp,dist,sch_dep_m,act_dep_m,wh_off,sch_arr_m,wh_on,temp,dew,hum,wind,w_spd,gust,pres,sch_dep,sch_arr
12,29,7,1,67,12,33,99,447,1040,1052,1085,1139,1143,53,49,86,10,10,0,29.96,23,38
1,14,2,6,22,-10,33,105,451,1115,1105,1138,1220,1202,50,39,66,15,9,0,30.19,30,41
1,11,6,3,72,3,41,129,599,900,903,944,969,964,55,43,64,16,20,24,30.21,34,29
12,12,4,1,35,24,17,100,414,1045,1069,1086,1145,1161,59,55,87,6,5,0,30.27,28,36
12,28,6,7,30,9,23,262,1635,1290,1299,1322,1432,1433,54,48,80,15,9,0,30.14,33,26
1,13,1,6,72,-9,27,128,599,430,421,448,498,481,50,44,80,16,6,0,30.21,51,31
1,3,5,7,71,170,18,132,679,978,1148,1166,1110,1272,56,46,69,10,13,0,30.24,21,44
12,17,2,6,71,0,21,137,679,711,711,732,848,840,55,40,57,0,0,0,30.09,30,33
11,4,1,7,57,-17,15,107,550,1201,1184,1199,1308,1283,53,46,77,16,7,0,29.99,22,47
12,4,3,0,58,88,21,382,2521,489,577,598,691,771,55,51,86,6,3,0,29.81,38,39
1,11,6,6,75,-1,82,300,1735,1053,1052,1134,1233,1224,51,41,68,15,8,0,30.21,22,31
12,1,7,8,16,7,13,240,1476,860,867,880,980,979,55,52,89,3,17,0,29.84,41,29
11,30,6,7,54,121,35,284,1846,942,1063,1098,1106,1219,54,44,69,3,20,29,29.83,26,40
12,8,7,7,6,-3,13,303,1969,1079,1076,1089,1262,1251,53,50,89,15,13,0,30.07,24,39
11,20,3,2,33,-7,26,393,2586,659,652,678,872,857,64,40,41,15,20,0,29.5,31,31
12,6,5,7,62,63,20,95,421,1130,1193,1213,1225,1280,58,52,81,10,13,0,29.93,17,44
12,1,7,7,71,-2,29,132,679,978,976,1005,1110,1100,59,51,75,3,16,0,29.86,26,35
12,18,3,7,50,-8,13,295,2338,825,817,830,1240,1224,55,49,80,13,7,0,30.06,26,38
11,25,1,6,22,3,10,103,451,1102,1105,1115,1205,1200,53,40,61,15,14,0,30.08,22,38
11,12,2,1,71,4,40,142,679,480,484,524,622,618,61,51,70,0,0,0,30.08,44,23
1,11,6,6,47,-10,33,288,1589,417,407,440,585,567,54,45,72,16,14,0,30.31,38,50
12,5,4,7,71,-3,23,138,679,360,357,380,498,487,55,51,86,2,8,0,30.07,50,30
11,26,2,3,20,-1,16,319,2079,970,969,985,1109,1100,50,45,83,9,32,41,29.54,22,37
11,26,2,3,33,-5,26,400,2586,580,575,601,800,787,54,39,57,13,9,0,29.87,39,24
1,5,7,7,28,-5,17,303,2398,1439,1434,11,422,409,47,39,74,12,3,0,30.5,22,11
1,10,5,1,54,29,52,308,1846,1060,1089,1141,1248,1269,53,42,66,15,6,0,30.3,18,43
1,15,3,7,29,-3,10,372,2419,755,752,762,947,936,53,39,59,17,13,0,29.97,23,27
11,26,2,1,71,-9,19,137,679,880,871,890,1017,1000,48,42,80,10,18,0,29.68,39,29
1,29,3,1,57,31,45,113,550,1015,1046,1091,1128,1151,54,47,77,15,18,0,30.2,19,30
12,3,2,6,16,-2,15,254,1476,1095,1093,1108,1229,1219,56,52,87,0,0,0,29.91,24,36
12,25,3,8,35,-3,13,100,414,740,737,750,840,829,54,43,66,10,10,0,29.74,38,29
11,5,2,7,29,-2,14,360,2419,1015,1013,1027,1195,1185,54,49,83,15,13,0,30.0,24,33
1,8,3,1,28,6,40,319,2398,1025,1031,1071,24,22,52,45,77,0,0,0,30.07,7,7
1,15,3,6,56,-6,16,126,710,360,354,370,486,472,41,39,93,0,0,0,30.11,27,24
11,7,4,7,28,-14,22,309,2398,945,931,953,1374,1352,53,48,83,15,7,0,30.15,31,27
12,6,5,1,71,10,19,137,679,880,890,909,1017,1019,62,50,65,10,17,0,29.92,42,29
12,17,2,7,34,2,11,303,2367,805,807,818,1228,1222,54,42,64,2,13,0,30.02,23,36
12,6,5,6,11,91,17,154,807,970,1061,1078,1064,1147,59,52,78,10,21,0,29.91,28,35
1,8,3,6,62,9,14,98,421,720,729,743,818,819,54,46,75,16,14,0,30.1,35,28
11,28,4,3,47,-2,16,254,1589,920,918,934,1054,1044,50,37,61,6,8,0,29.59,9,16
12,16,1,6,61,9,23,126,620,404,413,436,530,531,49,40,71,10,7,0,30.34,49,30
12,29,7,7,34,-10,11,304,2367,1410,1400,1411,394,376,52,47,83,0,0,0,30.11,21,11
11,11,1,7,57,66,38,114,550,450,516,554,564,622,60,53,78,2,5,0,30.06,44,22
12,13,5,3,3,-4,27,329,2139,854,850,877,1003,991,58,53,84,15,7,0,30.11,41,30
11,8,5,6,62,-11,22,90,421,380,369,391,470,451,52,50,93,9,7,0,30.19,23,26
12,6,5,7,36,-1,34,102,337,735,734,768,837,828,64,49,58,9,15,0,29.92,46,27
12,16,1,1,36,-10,33,93,337,570,560,593,663,645,53,40,61,1,3,0,30.36,43,24
1,6,1,3,33,-1,38,410,2586,1025,1024,1062,1255,1246,51,40,66,12,3,0,30.36,31,35
1,12,7,0,36,4,32,90,337,1083,1087,1119,1173,1169,50,42,74,9,6,0,30.16,24,30
12,1,7,7,30,51,25,257,1635,1299,1350,1375,1436,39,55,51,86,3,10,0,29.94,11,13
