,TAXI_OUT
20492,27
14496,15
17831,23
5453,30
6752,19
25773,21
15496,15
16892,17
23936,29
25979,10
24442,29
19805,14
20710,14
20954,12
25055,25
15714,33
4746,14
8744,14
18897,27
8128,17
4634,18
20725,35
10724,15
9932,36
22986,11
20357,23
25200,19
9885,18
1661,13
1844,15
25020,17
26856,22
22237,24
17574,15
9787,12
15585,12
14141,15
16211,15
16831,15
24395,18
18617,29
2614,19
26551,19
21963,23
20155,38
9337,21
20388,16
13813,21
18993,25
26009,14
13745,17
26634,13
5997,22
24950,19
842,16
15157,40
6766,12
9500,25
22017,15
22815,18
28697,13
12908,18
20908,14
24555,19
20068,16
6157,21
3845,22
4650,25
4292,31
25518,29
1630,16
20226,10
10408,24
9608,23
20659,12
21999,24
11699,18
8404,19
7000,13
5462,27
11516,24
19352,13
2779,22
24188,23
27752,22
27455,17
8213,22
19535,27
28209,18
18583,40
16646,26
28063,12
4420,14
349,15
24243,19
27730,16
950,30
3960,25
11256,26
720,19
2992,22
17450,22
821,14
15708,26
27465,19
4204,26
10914,34
7433,13
1613,23
6201,35
28317,18
8109,27
14134,12
4672,20
10404,15
17543,23
8425,14
6498,28
19883,24
12330,19
2507,23
3299,17
18536,15
22344,22
12062,24
12850,18
27846,19
21048,27
9854,20
3070,29
4691,17
11728,15
19931,41
23069,36
15446,20
556,28
4529,19
7192,22
15221,16
28590,18
14081,25
19236,19
5093,33
23600,24
6211,31
8553,17
28574,19
2591,19
25755,20
26833,15
17624,21
14382,27
20459,15
17159,15
6449,22
11643,22
22693,14
238,19
120,22
17581,19
18324,27
20046,19
14837,22
1551,17
25707,20
10401,17
23366,16
28285,24
24137,20
10033,22
4123,14
475,15
10341,18
18694,20
21763,20
763,13
17510,34
1684,16
13553,25
21543,24
9376,27
19121,17
6771,19
2471,25
15082,23
21290,13
3291,18
26633,16
9479,25
16025,28
6097,13
9542,16
7095,28
9630,30
3027,15
18283,22
22244,18
27112,20
24451,29
9327,22
4697,14
12955,18
1706,12
2769,18
7174,37
8901,16
670,15
20307,21
16203,14
8208,24
11186,17
24861,12
3022,19
23831,21
22513,22
10413,15
1821,17
5229,14
27171,35
10236,33
19813,15
10,26
20208,27
23100,26
11239,20
