MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,DEP_DELAY,TAXI_OUT,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_M,DEP_TIME_M,WHEELS_OFF_M,CRS_ARR_M,Pred_Wheels_On,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Condition,sch_dep,sch_arr
11,22,5,OO,MFR,-2,15,86,329,848,846,861,934,924,61,45,56,WNW,10,0,30.14,Fair,27,34
12,22,7,OO,TUS,59,26,152,751,498,557,583,590,641,52,50,93,WNW,12,0,29.75,Light Rain,42,25
1,27,1,UA,LAX,-8,32,96,337,840,832,864,936,920,59,49,69,W,13,0,30.36,Mostly Cloudy,25,28
1,28,2,UA,PSP,2,15,105,421,1140,1142,1157,1245,1239,53,48,83,W,14,0,30.28,Fair,29,40
12,24,2,AS,SEA,9,32,142,679,480,489,521,622,623,52,39,61,WNW,12,0,29.94,Mostly Cloudy,44,23
12,25,3,OO,ONT,71,14,98,363,572,643,657,670,733,52,43,71,ESE,12,0,29.76,Cloudy,34,34
1,5,7,UA,RDU,75,17,370,2400,405,480,497,595,662,55,42,62,ENE,5,0,30.56,Fair,31,36
12,24,2,AA,PHL,-7,14,386,2521,960,953,967,1166,1151,50,42,74,SW,6,0,29.89,Light Rain,18,35
1,10,5,UA,IAH,602,17,269,1635,1221,383,400,1370,524,52,46,80,WNW,6,0,30.29,Partly Cloudy,50,30
12,29,7,UA,IAD,-6,22,375,2419,1125,1119,1141,1320,1306,52,49,89,ENE,12,0,29.99,Light Rain,22,43
1,20,1,OO,ONT,-10,17,99,363,445,435,452,544,526,50,42,74,ESE,6,0,30.04,Cloudy,51,30
1,29,3,UA,IAD,-10,11,376,2419,390,380,391,586,568,54,47,77,CALM,0,0,30.27,Mostly Cloudy,37,48
1,28,2,UA,HNL,-6,23,296,2398,1320,1314,1337,296,282,53,47,80,SSE,3,0,30.35,Cloudy,0,1
12,27,5,OO,FAT,40,14,71,158,524,564,578,595,627,53,42,66,CALM,0,0,30.09,Mostly Cloudy,41,24
11,24,7,OO,ONT,-10,9,92,363,435,425,434,527,509,57,49,74,CALM,0,0,30.19,Fair,49,26
12,27,5,OO,FAT,179,16,71,158,620,799,815,691,862,59,37,44,WNW,10,0,30.04,Mostly Cloudy,27,32
1,14,2,DL,MSP,-2,24,270,1589,1079,1077,1101,1229,1219,50,39,66,W,9,0,30.19,Fair,30,41
12,31,2,UA,IAH,-8,16,262,1635,1006,998,1014,1148,1132,54,49,83,WNW,8,0,30.11,Partly Cloudy,26,35
12,23,1,OO,PAE,-2,13,126,710,360,358,371,486,476,47,42,83,N,5,0,29.93,Partly Cloudy,30,24
1,15,3,OO,EUG,-11,12,105,451,882,871,883,987,968,53,39,59,WSW,13,0,29.97,Cloudy,34,30
1,28,2,B6,BOS,-7,16,421,2704,895,888,904,1136,1121,55,48,77,W,9,0,30.27,Mostly Cloudy,23,33
1,27,1,AA,PHX,10,20,131,651,1100,1110,1130,1171,1173,55,49,80,W,8,0,30.37,Mostly Cloudy,23,31
